순위,노래 제목,가수이름
1,Love Lee,AKMU (악뮤)
2,후라이의 꿈,AKMU (악뮤)
3,"Smoke (Prod. Dynamicduo, Padi)",다이나믹 듀오
4,Seven (feat. Latto) - Clean Ver.,정국
5,Super Shy,NewJeans
6,Either Way,IVE (아이브)
7,ETA,NewJeans
8,Fast Forward,전소미
9,You & Me,제니 (JENNIE)
10,헤어지자 말해요,박재정
11,사막에서 꽃을 피우듯,우디 (Woody)
12,I Love My Body,화사 (HWASA)
13,I AM,IVE (아이브)
14,Bubble,STAYC(스테이씨)
15,퀸카 (Queencard),(여자)아이들
16,Get A Guitar,RIIZE
17,Hype Boy,NewJeans
18,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
19,Steal The Show (From “엘리멘탈”),Lauv
20,Spicy,aespa
21,Ditto,NewJeans
22,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
23,Baddie,IVE (아이브)
24,Kitsch,IVE (아이브)
25,너의 모든 순간,성시경
26,사랑은 늘 도망가,임영웅
27,사건의 지평선,윤하 (YOUNHA)
28,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
29,Still With You,정국
30,Summer (Feat. BE’O (비오)),Paul Blanco
31,CAKE,ITZY (있지)
32,Off The Record,IVE (아이브)
33,사랑인가 봐,멜로망스
34,After LIKE,IVE (아이브)
35,I Don't Think That I Like Her,Charlie Puth
36,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
37,LOVE DIVE,IVE (아이브)
38,New Jeans,NewJeans
39,심(心),DK(디셈버)
40,OMG,NewJeans
41,나에게 그대만이,탑현
42,사랑하지 않아서 그랬어,임한별
43,Attention,NewJeans
44,손오공,세븐틴 (SEVENTEEN)
45,3D (feat. Jack Harlow),정국
46,Dangerously,Charlie Puth
47,물론,허각
48,취중고백,김민석 (멜로망스)
49,주저하는 연인들을 위해,잔나비
50,Vancouver 2,BIG Naughty (서동현)
51,꽃,지수 (JISOO)
52,I WANT,IVE (아이브)
53,다정히 내 이름을 부르면,경서예지
54,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
55,별 떨어진다 (I Do),디오 (D.O.)
56,해요 (2022),#안녕
57,KIDDING,이세계아이돌
58,Teddy Bear,STAYC(스테이씨)
59,Baggy Jeans,NCT U
60,우리들의 블루스,임영웅
61,Dynamite,방탄소년단
62,STAY,The Kid LAROI
63,모래 알갱이,임영웅
64,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
65,Love Me Again,V
66,미친 사랑의 노래,김연지
67,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
68,ANTIFRAGILE,LE SSERAFIM (르세라핌)
69,다시 만날 수 있을까,임영웅
70,민들레 (single ver.),우효
71,Cool With You,NewJeans
72,사랑..그게 뭔데,지아
73,이제 나만 믿어요,임영웅
74,Somebody,디오 (D.O.)
75,Do or Die,임영웅
76,Butter,방탄소년단
77,Better Things,aespa
78,봄날,방탄소년단
79,Fact Check (불가사의; 不可思議),NCT 127
80,가을 타나 봐,바이브
81,Slow Dancing,V
82,Click Like (Prod. Crush) (Feat. Paul Blanco),Crush
83,무지개,임영웅
84,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
85,Candy,NCT DREAM
86,Chili,화사 (HWASA)
87,사랑의 바보,제이세라
88,잠시라도 우리,성시경
89,아버지,임영웅
90,London Boy,임영웅
91,That's Hilarious,Charlie Puth
92,잠깐 시간 될까,이무진
93,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
94,사람 Pt.2 (feat. 아이유),Agust D
95,Polaroid,임영웅
96,거리에서 (Feat. ASH ISLAND),릴러말즈 (Leellamarz)
97,달빛에 그려지는,미연 ((여자)아이들)
98,Cupid,FIFTY FIFTY
99,밤 (Night),dori
100,인생찬가,임영웅
